participant_id,name_title,first_name,last_name,age,postcode,marital_status,education,job_title,occupation_level,education_num,familiarity_FB,view_FB,interested_insurance,company_email,created_account
8.997E+12,Mr.,Dale,Coles,39,EH4 9FL,Never-married,Bachelors,Furniture conservator/restorer,1,17,7,9,0,jrhodes@jones.com,No
2.76497E+12,,Joel,Allen,50,LS5H 0JG,Married-civ-spouse,Bachelors,"Administrator, sports",4,17,9,6,1,william32@carey.com,No
8.45488E+12,Mr.,Craig,Davis,38,EH8W 2QJ,Divorced,HS-grad,Armed forces training and education officer,12,12,5,4,1,smithvanessa@coles.org,No
5.78132E+12,Mr.,Brandon,Thornton,53,EH2 5UE,Married-civ-spouse,11th,Facilities assistant,1,9,9,2,0,sbarrett@hart.biz,No
8.68749E+12,Miss,Brett,Fletcher,28,SN19 0PU,Married-civ-spouse,Bachelors,Information systems manager,12,17,8,9,1,lparkinson@butler.com,No
5.58625E+12,Dr.,Christopher,Barker,37,LE3 7SW,Married-civ-spouse,Masters,"Buyer, retail",7,18,7,5,0,gordonpearson@sullivan.com,No
9.93879E+12,Ms.,Jeremy,Ward,49,EH7 8XQ,Married-spouse-absent,9th,Construction Worker,1,6,1,2,0,catherineanderson@richards.com,No
6.5265E+11,Mr.,Karl,Cox,52,SR3C 3WS,Married-civ-spouse,HS-grad,Assistant Professor,13,12,9,7,0,cheryl22@powell-young.com,No
3.23496E+12,Mrs.,Hugh,Armstrong,31,SN8G 3XD,Never-married,Masters,Insurance broker,12,18,6,3,1,lydiataylor@wallace.com,Yes
3.52726E+12,Mr.,Mathew,Fox,42,SK07 0HP,Married-civ-spouse,Bachelors,"Development worker, international aid",4,17,5,3,1,kim75@evans-scott.org,Yes
4.24275E+11,,Aaron,Griffiths,37,EH2 3YU,Married-civ-spouse,Some-college,Local government officer,13,13,1,2,0,joyce78@martin.com,No
7.15258E+12,,Carl,Dale,30,M51 3YF,Married-civ-spouse,Bachelors,Gaffer,7,17,3,8,1,dfoster@ford.biz,No
5.44466E+12,,Christian,Barton,23,EH37 9JB,Never-married,Bachelors,Colour technologist,10,17,4,6,0,olivia76@morton.com,No
8.03074E+12,,Declan,Hart,32,BS5Y 2JW,Never-married,Assoc-acdm,"Designer, multimedia",4,16,6,9,0,mohammed00@moss.info,No
9.55199E+12,Mr.,Barry,Brown,40,SN5 1BF,Married-civ-spouse,Assoc-voc,Cartographer,10,14,8,5,0,ronaldkhan@martin-scott.com,No
7.34719E+11,,Mathew,Brown,34,EH7 0JY,Married-civ-spouse,7th-8th,Acupuncturist,2,5,3,8,0,nigelford@stevens.com,No
2.4467E+12,Mr.,Raymond,Nicholson,25,EH7 8UB,Never-married,HS-grad,"Engineer, control and instrumentation",3,12,5,1,0,marilyn24@fletcher-macdonald.info,No
3.96292E+12,Mr.,Benjamin,Bartlett,32,EH6 1JS,Never-married,HS-grad,Dispensing optician,5,12,1,3,0,ashleighbartlett@whitehead.info,No
6.05575E+12,,Bradley,Rose,38,BS80 5LW,Married-civ-spouse,11th,Equality and diversity officer,14,9,2,1,0,hugh25@turner.com,No
4.82332E+12,Ms.,Ross,Carr,43,S0 8RY,Divorced,Masters,"Engineer, manufacturing",6,18,2,3,0,ahicks@evans.com,No
7.82327E+12,Dr.,Christopher,Lloyd,40,SN9U 4QH,Married-civ-spouse,Doctorate,Insurance Lead Underwritor,16,21,10,7,1,gillian03@smith.biz,No
2.7345E+12,Miss,Graeme,Wood,54,EH1Y 1AD,Separated,HS-grad,Legal executive,9,12,2,1,0,peacockdeborah@fisher.com,No
9.06453E+12,,Bryan,Barry,35,EH0H 0RQ,Married-civ-spouse,9th,Interpreter,12,6,7,6,0,davieschloe@fuller-kaur.com,No
3.51316E+12,,Christian,Smith,43,EH10 9TB,Married-civ-spouse,11th,Games developer,9,9,6,6,1,leegordon@benson-warner.com,No
4.87033E+12,Mrs.,James,Hill,59,BS6D 0LA,Divorced,HS-grad,Heritage manager,2,12,9,5,1,francesca30@bray-hurst.biz,No
5.05493E+12,Mr.,James,Bradshaw,56,OX80 5XS,Married-civ-spouse,Bachelors,Professorial Research Fellow,16,17,5,3,1,frank36@thomson.com,No
5.42032E+12,Mr.,Joseph,Price,19,EH19 0GB,Never-married,HS-grad,Health visitor,4,12,1,2,0,hartgraham@arnold.biz,No
2.17264E+12,Mr.,Norman,Wells,54,SN8R 7WJ,Married-civ-spouse,Some-college,Data Scientist,9,13,7,2,1,vkhan@bates.info,No
9.07479E+12,Mr.,Lewis,Watson,39,S4E 0SJ,Divorced,HS-grad,"Scientist, research (life sciences)",5,12,6,5,1,pauline61@smith.biz,No
